"Horizon_days","model_id","TempDynamics","RMSE_C"
1,"Daily","Mixed",0.00725404693468208
1,"Weekly","Mixed",0.485146445680699
1,"Fortnightly","Mixed",0.765210851004298
1,"Monthly","Mixed",0.971095800531992
1,"Daily","Stratified",0.0269816783506759
1,"Weekly","Stratified",0.883769668594724
1,"Fortnightly","Stratified",1.14699448881252
1,"Monthly","Stratified",1.79902703046583
7,"Daily","Mixed",1.01711236789937
7,"Weekly","Mixed",0.880775745725153
7,"Fortnightly","Mixed",1.13543020204573
7,"Monthly","Mixed",1.19495766735935
7,"Daily","Stratified",1.36292378730845
7,"Weekly","Stratified",1.22482633310396
7,"Fortnightly","Stratified",1.38060911979154
7,"Monthly","Stratified",1.94821511952092
35,"Daily","Mixed",2.54757841628609
35,"Weekly","Mixed",1.93304924851914
35,"Fortnightly","Mixed",2.13734044329257
35,"Monthly","Mixed",2.04369578445828
35,"Daily","Stratified",2.51403569504763
35,"Weekly","Stratified",1.83650929741678
35,"Fortnightly","Stratified",1.96004386293425
35,"Monthly","Stratified",2.07276630626197
